업체명,사업자등록번호,주업종,주요 생산품목,소재지,전화번호
울진잔디장의사,5070537129,수리(修理) 및 기타 개인 서비스업,장의사및 관련서비스업잔디장의자동차,경상북도 울진군 울진읍 토일2길 173-33,054-783-1414
(주)공간창조아이앤디,2318800427,건설업,실내건축공사,서울특별시 강남구 봉은사로74길 102층(삼성동),02-539-0488
(주)동서산업,4128138601,제조업,유기질비료,전라남도 나주시 금천면 벽류길 122,061-333-7474
(주)자연과학,5108117399,비금속 광물제품 제조업,콘크리트블록 ,경상북도 김천시 농소면 용시길 100,054-431-4402
(주)한덕건설산업,1148707133,건설업,건설업,서울 서초구 방배동477-8번지 태우빌딩 302호,02-521-2774
광동기업주식회사,1328129244,건설업,도장공사,경기도 구리시 인창2로 20-12102호(인창동 유림맨션상가),031-563-0097
대산실업,7481300946,도매 및 소매업,서적,강원도 횡성군 공근면 영서로학담5길 461동,033-761-1248
세기웰,1242083815,그 밖의 모든 업종,용접기및잡자재도소매유통&A/S&용접기보조용품제작,경기도 화성시 팔탄면 시청로 933팔탄공구상가 세기웰,031-353-7119
세라컴퍼니,1131098532,예술 스포츠 및 여가 관련 서비스업,공연기획,서울특별시 구로구 디지털로32가길 161206-130호(구로동 파트너스타워2차),02-859-5139
아이작,3632400663,교육 서비스업,아동미술공예교육서비스,서울특별시 성동구 자동차시장1길 103514호(용답동),02-966-0504
앤쥬아트(ANNZOO ART),6690101066,제조업,천연화장품,서울특별시 강서구 방화대로44길 41-7B01(방화동),02-6204-0905
주식회사 모닝종합관리,1248736222,사업시설관리 및 사업지원 서비스업,경비업 및 위생관리 용역업,경기도 수원시 장안구 수성로262번길 65(영화동),031-246-8033
주식회사 쏠레르티아연구소,5728701034,전문 과학 및 기술 서비스업,정보시스템개발서비스,서울특별시 영등포구 영중로8길 6신관 523호(영등포동 3가 성남빌딩),070-7479-3013
진퍼스,1072024771,도매 및 소매업,작업용의자,서울특별시 영등포구 국회대로74길 20304호(여의도동맨하탄21리빙텔),02-375-8567
K.V바이오젠,3142259533,제조업,동물약품 ,충청북도 청주시 서원구 남이면 외천척산길 58K.V바이오젠,043-263-2430
다소다,2032605128,도매 및 소매업,판촉물,부산광역시 해운대구 재송2로23번길 36남성선파크상가 103호,051-932-5005
윤성지하수개발,3121288028,건설업,건설업(지하수공사업),충청남도 청양군 대치면 판동길 254.,041-942-9787
이레엠케어,6172556299,도매 및 소매업,의료기기 판매업,부산광역시 강서구 대저로221번나길 1122층 (대저1동),051-625-8589
태양종합상사,3052597363,도매 및 소매업,전동드릴,대전 대덕구 대화동산업용재유통상가 (지원상가2동 207-1호),042-670-4333
(주)거화씨스템,2048192566,사업시설관리 및 사업지원 서비스업,시설물경비서비스,서울특별시 은평구 연서로31길 3202호(불광동),02-556-8156
디자인215,2200808126,제조업|도매 및 소매업|그 밖의 모든 업종,핸드백,서울특별시 강남구 삼성로84길 306층(대치동 테미스빌딩),070-8863-2150
주식회사 지에스씨,1238644630,건설업,실내건축공사,서울특별시 구로구 경인로20나길 309층 922호(오류동 이좋은집),02-2066-7879
주식회사대진환경,3998100568,건설업,비계구조물해체공사,강원도 영월군 영월읍 단종로33번길 30kt빌딩 3층,033-375-3843
 (주) 미래로택,1308651686,전자부품 컴퓨터 영상 음향 및 통신장비 제조업,정보통신공사,경기도 부천시 도약로 261에이동 504호 (도당동 부천대우테크노파크),032-670-8067
(주)내일에너지,1078712472,건설업,전기공사용역,서울 영등포구 문래로 98,02-2633-7010
(주)법정문서,7278100991,출판 영상 방송통신 및 정보서비스업,리걸컨텐츠,서울특별시 마포구 백범로31길 21서울시50플러스중부캠퍼스 1층(공덕동 공유공간힘나 상상공장4),02-707-0190
동우CM,1290866764,수리(修理) 및 기타 개인 서비스업|사업시설관리 및 사업지원 서비스업,기타청소서비스,경기도 성남시 수정구 탄리로 221층,031-721-7215
로하스비엠 주식회사,8778700605,사업시설관리 및 사업지원 서비스업,건물 및 주택관리업 건물위생관리업,경기도 안산시 단원구 인현중앙길 38 상가동 2층 201호(고잔동 현대아트1차빌라) (고잔동),031-409-7959
파이발텍 주식회사,4508800504,제조업|도매 및 소매업,흔들림방지버팀대그루브커플링,경기도 시흥시 공단1대로 13327호 303호(정왕동 삼양테크노파크),031-319-6556
 (주) 드림투어,1358624618,그 밖의 모든 업종,여행관련용역,경기도 오산시 오산로 193127호(오산동),031-373-8009
(유)남주포장산업 ,4268100900,고무제품 및 플라스틱제품 제조업,폴리에틸렌필름,전라남도 순천시 해촌길 42,061-742-3330
(주)승주건설,3118143631,건설업,비계구조물해체석면해체파일항타.장비임대,경기도 평택시 고덕면 안재홍로 251-3A동103호,031-611-9930
(주)에스넷,4018152826,교육 서비스업,원거리수업관련용역,대전광역시 중구 대흥로 88다솜타워 56층,070-5014-1004
(주)엠에이치다비드,4238100541,사업시설관리 및 사업지원 서비스업,시설관리시설경비청소관리용역 외,대전광역시 동구 동대전로 295(가양동신도빌딩) 3층 307-2호,042-639-6388
(주)우주기업,2218137175,건설업,건설업,강원도 화천군 하남면 춘화로 3158-93158-9,033-442-1950
두원기술,1660101209,제조업|도매 및 소매업,연구기자재,대전광역시 대덕구 대화로 160산업용재유통단지 지원상가 2동 412호,042-670-4330
모든오피스안산점,1343225019,도매 및 소매업,진행문서파일,경기도 안산시 단원구 만해로 205A동206호207호 (성곡동),031-494-2883
변산안전공사(주),4048113837,건설업,도장공사,전라북도 부안군 행안면 궁안길 117변산안전공사,070-7757-4225
아이필전산,6091174061,도매 및 소매업,전산소모품외,경상남도 창원시 의창구 명서로129번길 26,055-265-4340
영진산업개발(주),6138155580,건설업,습식방수도장공사,경상남도 남해군 삼동면 동부대로 1290-3,055-867-5748
주식회사 주니테크,1388190295,제조업,PCB조립,경기도 군포시 군포첨단산업2로 64-54층 (부곡동),031-429-6636
화진전자,3050865113,제조업,저항감쇠기,대전광역시 중구 대종로62번길 92,042-271-5659
(주)대광창호,3378800900,건설업|제조업,금속제창,전라북도 익산시 함열읍 상조석재길 6 ,063-862-9950
TS테크,3123332645,도매 및 소매업,유통업체,충남 천안시 서북구 성정중7길 39-17,070-8221-4434
어반딕셔너리,1170492543,도매 및 소매업,의류악세사리신발 생활잡화 등 통신판매 및 도소매,서울특별시 서초구 양재천로11길 7(양재동일신빌딩 2층) ,02-3474-0855
유한회사 삼신테크,4188132361,목재 및 나무제품 제조업(가구 제조업 제외),합성목재,전라북도 군산시 옥구읍 광월길 42삼신테크 ,063-714-3304
주식회사 꿈꾸는터콘텐츠랩,7888601141,출판 영상 방송통신 및 정보서비스업,동영상제작서비스,전라북도 전주시 덕진구 매봉로 40301호,070-8650-2271
주식회사 제이와이네트워크,1728700908,도매 및 소매업,광고제작 및 대행/의류및 잡화,서울특별시 강서구 강서로56가길 1416층(등촌동케이엠빌딩),02-6959-5552
(주)효성엔지니어링,5138144482,건설업,기계설비공사업 전문소방시설공사업,경상북도 안동시 풍산읍 풍산태사로 10752층,054-852-5901
씨앤비물산크린(주),5158141782,섬유제품 제조업(의복 제조업 제외),의료기관세탁물처리,경북 경산시 남산면경리 480,053-852-5225
창조인테리어,5061642853,도매 및 소매업,커텐 벽지 장판 인테리어,경상북도 포항시 남구 상공로46번길 4(상도동),054-272-6263
현아건축사사무소,5020552085,전문 과학 및 기술 서비스업,건축 설계,대구광역시 동구 화랑로 47전문건설회관 3층 (신천동),053-751-7104
(주)제일산업,6228104182,금속가공제품 제조업(기계 및 가구 제조업 제외),가드레일 낙석방지책 외,경상남도 김해시 진례면 고모로 16,055-345-3790
(주)현창,5048184364,도매 및 소매업|고무제품 및 플라스틱제품 제조업,고무화합물,경상북도 상주시 왕산로 190-8,053-951-5131
성호종합통상,8442200625,도매 및 소매업,전문구매용역,경기도 구리시 벌말로129번길 28-53동 B2호 (토평동 동명빌라7차),031-557-2520
(주)포커스디앤에스,1078709695,인쇄 및 기록매체 복제업,복사기및 프린터 재생토너,서울특별시 마포구 독막로29길 481층 우측 (신수동광성빌딩),02-3667-8600
에코비엠 주식회사,1588601035,제조업,세정제,전라남도 순천시 해룡면 율촌산단1로 50(재)전남테크노파크 신소재센터 제2공장중 204호 ,061-724-0885
주식회사 서울유지,1408164975,도매 및 소매업,사업장폐기물 동식물성잔재물류,경기도 시흥시 월곶해안로 145화신아이비시티1304호,031-411-3121
(주)그루기술,2148868081,출판 영상 방송통신 및 정보서비스업,프로그램개발용소프트웨어,서울특별시 성동구 성수일로 55607호(성수동1가 SK테크노빌딩),070-4325-7011
(주)모어엔지니어링건축사사무소,2048624777,전문 과학 및 기술 서비스업,건축설계 및 감리,서울특별시 영등포구 양평로 67309호(당산동5가 당산역 한강포스빌),02-2637-2050
(주)우리건설,3478700502,건설업,비계구조물해체공사,제주특별자치도 서귀포시 중앙로153번길 4서홍동,064-732-8279
(주)자미헌건축사사무소,1148717188,전문 과학 및 기술 서비스업,건축설계감리/ 학술연구,서울특별시 동대문구 망우로12길 16층 (휘경동 달란트빌딩),02-575-0568
(주)천우안전,2048645578,건설업,소방관련용역,서울특별시 중랑구 동일로130길 502층 (중화동),02-493-4600
아이앤에스,4160569344,수리(修理) 및 기타 개인 서비스업,건물청소서비스,전라남도 순천시 북문길 1372층,061-727-4004
주식회사 지역개발연구소 한그루,4158157572,교육 서비스업|전문 과학 및 기술 서비스업,지자체 용역 컨설팅,광주광역시 북구 첨단연신로107번길 45-111층 지역개발연구소  한그루,062-571-9980
주식회사 케이씨에스(KCS)비젼,1048658472,보건업 및 사회복지 서비스업,방역용소독기,서울 중구 청파로 439223호(중림동 종로학사B/D ),02-363-0107
태림조경,6161168591,건설업,조경용수목,제주특별자치도 서귀포시 남성중로 114-1,064-732-0420
환영기획인쇄,1090292913,제조업|인쇄 및 기록매체 복제업,교재,서울특별시 영등포구 경인로82길 3-4(문래동1가 센터플러스 918호 105-1호 101호),02-2164-3370
(주) 두리시스템테크놀로지,2158680901,도매 및 소매업,동작분석시스템,경기도 성남시 중원구 둔촌대로457번길 271117호 및 704호(상대원동 우림라이온스밸리1차),031-737-2233
(주)원전건설,6038163308,건설업,실내건축공사,부산광역시 사하구 사리로 522층 (괴정동),051-207-0404
㈜ 늘푸른광고산업,1178167346,그 밖의 제품 제조업,현수막,인천광역시 계양구 대보로 102(작전동),032-673-7399
대진상사,4021661408,도매 및 소매업,기타주방용품,전라북도 전주시 덕진구 용산1길 122층.23호45호112호 (금암동 금암상가맨션아파트),063-464-4389
보우상사,1351572973,도매 및 소매업,포장용테이프,경기도 용인시 처인구 모현읍 오산로 12-212층 보우상사,031-322-8899
스포런,2102059936,도매 및 소매업,체력진단시스템,경기도 남양주시 늘을3로 65-126층 607호(호평동 금강프라자),031-527-4595
에스텍,1262668883,의복 의복 액세서리 및 모피제품 제조업,내복,경기도 포천시 군내면 포천로 1367-33에스텍,031-535-9601
영운산업,3883600501,도매 및 소매업,발전자재기계부품패킹,인천광역시 동구 방축로37번길 3022동 206호(송현동 인천산업용품유통단지),032-589-1824
주식회사 모닝커머스,2468700494,그 밖의 제품 제조업,기타주방용품,인천광역시 남동구 앵고개로 378(고잔동116B-1L),032-822-8513
주식회사 비에프코리아,1238631305,제조업,이동식휠체어리프트,서울특별시 강서구 양천로 400-12제지하 4층 제비 401호(가양동더리브골드타워),02-3665-1055
주식회사 유웰,1318649091,화학물질 및 화학제품 제조업(의약품 제조업 제외),천연이온화미네랄 실내공기오염원 살균/소독용 탈취제,인천광역시 연수구 송도미래로 30에이동 1907호(송도동 송도 BRC 스마트밸리 지식산업센터),032-832-5600
주식회사 인솔건설,5978601337,건설업,포장공사,경기도 오산시 청학로 118-11층 (궐동),031-375-9077
펄프산업주식회사,6108165231,제조업,신문용지원지,충청북도 진천군 이월면 물미길 147-4펄프산업주식회사,043-537-3538
(주)제인팜,1148669980,도매 및 소매업,기타의신경계및감각기관용의약품,강원 원주시 무실로55번길 64,033-744-1610
길라씨엔아이(주),1058181587,제조업,도로표지병방음벽커버사무용골무,충청남도 논산시 연산면 선비로 574-29574-29 ,02-735-3579
선경ST,3142192457,도매 및 소매업|제조업,모터감속기,대전광역시 대덕구 대화로 16016-142호,042-670-4579
진양씨푸드,2270619412,제조업,진양물회 진양오징어순대,강원도 강릉시 주문진읍 연주로 270강원도립대학 창업보육센타 5506 ,033-635-0048
(주)내셔널오즈,2148797314,출판 영상 방송통신 및 정보서비스업,정보시스템유지관리서비스,서울특별시 강남구 역삼로 140(역삼동 3층1호),1544-2460
(주)원포인트 듀오,2068693703,그 밖의 제품 제조업,안내판,서울특별시 성동구 연무장17길 3성수동2가 삼우아파트형공장,02-447-7117
라이프턴,3162700222,도매 및 소매업,캠핑용의자,서울특별시 성북구 종암로25길 30117동 1401호 (종암동 삼성래미안),02-927-4907
주식회사 마노아,8408701034,제조업|건설업|도매 및 소매업,축열식전기보일러,경기도 화성시 정남면 문학로 52-1주식회사 마노아,031-366-1705
(주)교육과비전,6098164945,교육 서비스업,교육자문관련용역,경상남도 창원시 성산구 대암로105번길 1아카데미빌딩 3층,055-264-0082
(주)동경씨에스,5648100269,제조업,CASE명판분체도장 외,경상남도 창원시 성산구 성산패총로38번길 18 (성산동),055-286-0307
(주)브로딩,2048612820,도매 및 소매업|제조업|식료품 제조업,상업용커피메이커및아이스티메이커,서울특별시 동대문구 하정로5길 51층(신설동 미영빌딩),02-2247-4844
(주)샘텍코리아,3128155071,제조업,전자부품,충청남도 아산시 신창면 온천대로 1005(주)샘텍코리아,041-534-0773
(주)송산시스템,2778800404,건설업,실내건축공사 시설물유지관리 청소용품,서울특별시 동대문구 황물로 103킹스타빌딩 403호(답십리동),02-2247-0006
나무와 열손가락,7530800323,도매 및 소매업,목재품가공용역,강원도 강릉시 강변로582번길 11(입암동),033-661-0239
명문인쇄공사,2012760383,인쇄 및 기록매체 복제업,기타인쇄물,서울특별시 중구 퇴계로31길 7(필동1가 명문빌딩),02-2079-9200
주) 태명 포리텍,6458600388,제조업|도매 및 소매업|사업시설관리 및 사업지원 서비스업,합성수지/포장자재/임가공,경상남도 양산시 상북면 내전길 33-1,055-388-5201
주식회사 포스팟,5458601108,출판 영상 방송통신 및 정보서비스업,정보시스템개발서비스,서울특별시 강남구 역삼로 1402층,02-1599-8345
지광고디자인,1190632899,그 밖의 기계 및 장비 제조업,옥외광고물(간판현수막도로이정표),경상남도 진주시 모덕로61번길 6-8(상대동),055-752-1144
(유)전남물류,4168179190,운수업,운송지원업무용역,전라남도 순천시 해룡면 여순로 13731층 (유)전남물류,061-372-8775
(주)가온,2248151313,금속가공제품 제조업(기계 및 가구 제조업 제외),금속재기타울타리,강원도 원주시 문막읍 비두먹골길 16-8,033-732-0656
(주)신안광고기업,2108801211,제조업|건설업|도매 및 소매업,간판및광고물,전라남도 화순군 화순읍 천변좌길 31층 (주)신안광고기업,061-374-5700
(주)에이치앤씨제이,4108620100,사업시설관리 및 사업지원 서비스업,시설설비유지관리서비스,광주광역시 북구 하남대로 793 3층 (운암동),062-515-0670
(주)태영하이텍,8718701227,도매 및 소매업,농어업및임업기계장비설치,강원도 강릉시 사임당로 180715호,031-695-8492
(합)광명전설,5158127077,건설업,태양광발전장치,경상북도 성주군 벽진면 성주로 2782(가암리),053-521-4612
에코라이프,2330500959,농업 임업 및 어업,양식및양어용역,강원도 강릉시 주문진읍 연주로 270강원도립대학 산학협력단 204호,033-661-4888
장수메디칼,6865500236,제조업,맞춤형교정용구두,서울특별시 서초구 강남대로8길 66-6지하1층(양재동),02-598-5897
제이비메디텍,1531001054,도매 및 소매업,의료용 재활기기,강원도 원주시 서원대로 416-21층 제이비메디텍,033-766-2648
제이엠건설(주),2248123272,건설업,토목건축공사업/전기공사업,강원도 강릉시 옥계면 현내시장길 115-1,033-642-4817
주식회사 에이치씨위드유,6668701251,사업시설관리 및 사업지원 서비스업,건물청소서비스,서울특별시 성북구 종암로22길 151층 (종암동),02-941-4279
탈모드,2152647039,도매 및 소매업|교육 서비스업|제조업,화장품,서울특별시 성동구 마장로 137221동 1층 1182호(상왕십리동 텐즈힐),02-965-8575
(유)디오산업개발,8828100060,사업시설관리 및 사업지원 서비스업,건물청소서비스,전라북도 전주시 완산구 효자로 3352층,063-285-4550
대양건설(주),3028110155,건설업,철근콘크리트공사,충청북도 영동군 양산면 송호로 9대양건설 ,043-743-9228
천일설비엔지니어링,3120654833,건설업,배관 난방공사 철구조물 및 조립식판넬 설치,충청남도 천안시 동남구 차돌고개3길 17천일설비엔지니어링,041-572-9791
보아디자인,4101927402,전문 과학 및 기술 서비스업,아트디자인및그래픽용역,광주광역시 광산구 내상로 322층,062-671-0903
세양섬유,5040152797,제조업,의류용 및 산업용 직물,대구광역시 북구 검단공단로21길 27 (검단동)530번지,053-381-8927
신안금속,1620700821,제조업,홀더,대구광역시 달서구 성서공단북로69길 243동(장동),053-585-1768
주식회사오퍼스퍼니처,5158140162,가구 제조업,사무용의자 및 OA류,대구광역시 동구 팔공로47길 47(봉무동1562),053-986-8555
(주)다원삶터,2908601080,제조업|펄프 종이 및 종이제품 제조업|도매 및 소매업|전문 과학 및 기술 서비스업,쇼핑백,세종특별자치시 연서면 당산로 4932동 201호,044-864-1173
(주)티파인,1318641032,제조업,비금속광물제품제조업,인천광역시 남동구 남동대로49번길 42(고잔동 130블럭12로트102호),032-815-3404
창성공업사,5051244258,제조업,닻,충청남도 태안군 남면 진산2길 22창성공업사,063-467-3280
(주)건아건설,6168135899,건설업,조적공사,제주특별자치도 제주시 연사길 60102호,064-743-5411
벧엘상사,4160921071,도매 및 소매업,정수기.공기청정기.비대.,서울 영등포구 양평로28라길2 501호 (양평동6가 한양맨션),02-2068-4716
북마크,1051559872,출판 영상 방송통신 및 정보서비스업,서적,서울특별시 동대문구 무학로45길 574층(용두동),02-325-3691
새한유리,1050476384,건설업,없음,서울특별시 마포구 토정로17길 8-1신수동,02-3273-0475
주식회사예주이엔지,7058700692,건설업,전기공사용역,제주특별자치도 서귀포시 성산읍 산성효자로114번길 112. ,064-784-3104
태화금속,5142664255,제조업,수도계량기 보호통,대구광역시 달성군 하빈면 달구벌대로12길 178,053-584-2577
(주)마루한,6108198993,건설업,시설물유지관리공사,충청남도 예산군 예산읍 벚꽃로127번길 242층 ,041-332-6663
(주)불꽃,2068119300,건설업,건설업(전기),서울특별시 송파구 가락로31길 30라온채 210호 (송파동),02-478-3874
(주)영진건설,4108149233,건설업,조경용수목,전라남도 장흥군 장흥읍 읍성로 157101호,061-864-9100
(주)예원엔터컴,3178136007,출판 영상 방송통신 및 정보서비스업,기타행사기획및대행서비스,세종특별자치시 조치원읍 산책1길 41101호,042-583-6721
(주)제우스이엔지,7158800435,사업시설관리 및 사업지원 서비스업|건설업|전자부품 컴퓨터 영상 음향 및 통신장비 제조업,PSD조립 및 서비스업,경기도 광명시 하안로 60광명SK테크노파크 E동 1008호,02-2083-2100
경남디엠,6080497118,제조업,인쇄광고용역,경상남도 창원시 성산구 창이대로664번길 30,055-264-9736
누리상사,2020145973,제조업,냉난방기구,경기도 김포시 양촌읍 황금로 117이젠 메카존 나동 5층 507호,070-4141-6470
대경기계제작소,6211246257,제조업,재활용압축기계,부산광역시 사상구 삼덕로5번길 10 (삼락동),051-303-3931
마케팅스토리,1262052389,사업시설관리 및 사업지원 서비스업,서비스기획,경기도 성남시 분당구 장미로48번길 10428호 (야탑동),031-707-4080
윤건설중기,1075089091,건설업,건설기계대여,경기도 파주시 문산읍 사임당로 182층 202호,031-926-2790
주식회사 일성기업,4128127365,비금속 광물제품 제조업,콘크리트벽돌,전라남도 나주시 반남면 장송길 54-45,061-339-2000
주식회사 필경,1058608257,인쇄 및 기록매체 복제업,표창장,서울특별시 마포구 마포대로12길 58 (공덕동),02-712-1388
주식회사 화성통신이엔지,1248718530,건설업,정보통신공사업,경기도 오산시 은여울로7번길 35-6(궐동),031-366-3388
한길조경,3100148233,건설업,조경용수목,충청남도 홍성군 홍성읍 월산2길 27201호 ,041-632-1063
해든손지압원,7669700565,보건업 및 사회복지 서비스업,치료상담관련용역,광주광역시 광산구 임방울대로 3348층,062-954-4040
대송의전,3457400210,제조업,상조용품.장의용품,경상북도 포항시 북구 소티재로 69-10우현동,054-246-5573
(주)동원석재,5548800728,제조업,조경석,경상북도 상주시 외서면 예의리산 62,054-534-9880
(주)호남엠엔씨,4168153604,1차 금속 제조업,알루미늄난간 제조,전라남도 순천시 주암면 주석로 290-37,061-755-5977
나누미,1304733092,도매 및 소매업,문구류화장지,경기 부천시 원미구 석천로 13 2층 203호(상동 광명빌딩),032-328-1264
농업회사법인 삼부기계 주식회사,5648700989,제조업,동력분무기/수확용리프트/다목적운반차,경기도 남양주시 진접읍 진벌로223번길 33-18(주)삼부기계,031-582-9274
뉴텍컴퓨터,5080347698,수리(修理) 및 기타 개인 서비스업,컴퓨터수리,경상북도 안동시 서동문로 16(태화동1층),054-841-9000
대은건설주식회사,1148683323,건설업,실내건축공사,서울특별시 성동구 아차산로 103410호 (성수동2가 영동테크노타워),02-2291-4211
렉산닷컴,1274568456,건설업,철물공사,경기도 포천시 군내면 유교로136번길 14-15,031-535-0572
믿음건설,2021054983,건설업,시설물유지관리공사,경기도 광주시 초월읍 지월로55번길 24,02-471-5223
아세아농업기계,4040183705,도매 및 소매업,트랙터외,전라북도 정읍시 벚꽃로 104아세아농업기계,063-535-3126
우리기업 주식회사,4108658509,건설업,시설물유지관리공사,전라북도 전주시 덕진구 장동길 331층,063-221-9956
주식회사 다인나눔,2188701222,제조업|도매 및 소매업|그 밖의 모든 업종,쇼핑백임가공,경기도 안성시 안성맞춤대로 897-3,031-674-1722
주식회사 에코그린,1348711664,제조업,면상발열체,경기도 화성시 팔탄면 대평안길 66-39,031-351-7762
주식회사 영남창호산업,4788700897,제조업,금속제창,경상북도 칠곡군 지천면 금호로 148-25,054-974-0912
주식회사 이리야시스템,1418147931,전기장비 제조업,계장제어장치,서울특별시 강서구 화곡로68길 156층 607호(등촌동 아벨테크노),02-715-7785
주식회사 진흥금속,3148614673,금속가공제품 제조업(기계 및 가구 제조업 제외),금속재기타울타리,전라북도 전주시 덕진구 가재미6길 7가람 101호,063-244-1221
참좋은이웃,6940401059,도매 및 소매업,문구용품 사무용기기,경기도 양주시 남면 삼육사로395번길 40-74참좋은이웃,031-829-5534
혜성 ENG,1304218868,제조업|건설업,컨베이어,경기도 시흥시 엠티브이26로19번길 937동,031-431-8123
(주)블루크린,5898601184,수리(修理) 및 기타 개인 서비스업,세탁소업,경기도 광명시 광명로 555블루크린 (노온사동),02-2687-9997
(주)새한전기통신공사,5118113173,건설업|제조업,전기공사업.통신공사업.소방시설공사업.제조업.도.소매업,충청남도 홍성군 홍성읍 충서로1575번길 87(주)새한전기통신공사,041-632-1683
다니엘FH&L,7340501072,도매 및 소매업,서적,세종특별자치시 보듬3로 731102동 2701호,044-863-5370
은정한과,2260904799,제조업,곡류가공품,강원도 강릉시 사천면 중앙서로 240-20,033-647-0327
주식회사 새아스,4398700868,제조업,울타리 차양,경기도 부천시 석천로 397401동 611호,032-624-1844
케이티알안전,3801300454,건설업|도매 및 소매업,시설물유지관리,충청남도 금산군 복수면 실학로 721케이티알안전,063-714-6446
한국호진공업(주),6068111982,금속가공제품 제조업(기계 및 가구 제조업 제외),금속제알루미늄창호,부산광역시 사하구 신산로13번길 59,051-301-4531
(주)삼양도장기업,4168146758,건설업,페인트 판매,경상북도 안동시 퇴계로 177삼양도장기업 (신안동),054-842-0404
금호웰빙텍(주),1198661455,제조업,칫솔 칫솔살균기,서울특별시 금천구 가산로 62(독산동 별관4층),02-804-9093
시루조경 주식회사,8928800464,건설업,조경식재공사관련용역,대전광역시 유성구 북유성대로155번길 27105호,042-826-0567
신평장묘,1319419097,수리(修理) 및 기타 개인 서비스업,장의 분묘이장,경상북도 경주시 건천읍 단석로 1803-86,054-751-9666
영생,7019400155,수리(修理) 및 기타 개인 서비스업,장의분묘이장,경상북도 경주시 건천읍 단석로 1803-86,054-751-9666
정우커뮤니케이션즈,3052091743,인쇄 및 기록매체 복제업,기타인쇄물,대전광역시 동구 대전천동로 628 101호 및 2층(삼성동) (삼성동),042-636-1630
채움기업,5052051166,도매 및 소매업,화장실용화장지,대전광역시 서구 계룡로 663-331층 102호,042-532-2821
